full_name;age;birthday;league;season;position;Current_Club;nationality;goals_overall
Petr Äœech                                                                                          ;38;390697200;Premier League                                                                                      ;2018/2019                       ;Goalkeeper                                                                                          ;Arsenal                                                                                             ;Czech Republic                                                                                      ;0
Rui Pedro Dos Santos Patrã­Cio                                                                      ;32;571881600;Premier League                                                                                      ;2018/2019                       ;Goalkeeper                                                                                          ;Wolverhampton Wanderers                                                                             ;Portugal                                                                                            ;0
Ryan Schofield                                                                                      ;20;944870400;Premier League                                                                                      ;2018/2019                       ;Goalkeeper                                                                                          ;Huddersfield Town                                                                                   ;England                                                                                             ;0
Sergio Germã¡N Romero                                                                               ;33;540950400;Premier League                                                                                      ;2018/2019                       ;Goalkeeper                                                                                          ;Manchester United                                                                                   ;Argentina                                                                                           ;0
Sergio Rico                                                                                         ;27;746838000;Premier League                                                                                      ;2018/2019                       ;Goalkeeper                                                                                          ;Fulham                                                                                              ;Spain                                                                                               ;0
Simon Mignolet                                                                                      ;32;573609600;Premier League                                                                                      ;2018/2019                       ;Goalkeeper                                                                                          ;Liverpool                                                                                           ;Belgium                                                                                             ;0
Tom Heaton                                                                                          ;34;513903600;Premier League                                                                                      ;2018/2019                       ;Goalkeeper                                                                                          ;Burnley                                                                                             ;England                                                                                             ;0
Vicente Guaita                                                                                      ;33;537235200;Premier League                                                                                      ;2018/2019                       ;Goalkeeper                                                                                          ;Crystal Palace                                                                                      ;Spain                                                                                               ;0
Wayne Hennessey                                                                                     ;33;538444800;Premier League                                                                                      ;2018/2019                       ;Goalkeeper                                                                                          ;Crystal Palace                                                                                      ;Wales                                                                                               ;0
Wilfredo Daniel Caballero                                                                           ;38;370479600;Premier League                                                                                      ;2018/2019                       ;Goalkeeper                                                                                          ;Chelsea                                                                                             ;Argentina                                                                                           ;0
Will Norris                                                                                         ;27;745110000;Premier League                                                                                      ;2018/2019                       ;Goalkeeper                                                                                          ;Wolverhampton Wanderers                                                                             ;England                                                                                             ;0
Å?Ukasz Fabiaå„Ski                                                                                  ;35;482626800;Premier League                                                                                      ;2018/2019                       ;Goalkeeper                                                                                          ;West Ham United                                                                                     ;Poland                                                                                              ;0
