full_name;age;birthday;league;season;position;Current_Club;nationality;goals_overall
David Silva                                                                                         ;34;505526400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester City                                                                                     ;Spain                                                                                               ;6
Davy Prã¶Pper                                                                                       ;29;683766000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Brighton & Hove Albion                                                                              ;Netherlands                                                                                         ;1
Declan Rice                                                                                         ;21;916272000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;Republic Of Ireland                                                                                 ;2
Dele Alli                                                                                           ;24;829177200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Tottenham Hotspur                                                                                   ;England                                                                                             ;5
Demarai Gray                                                                                        ;24;835916400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Leicester City                                                                                      ;England                                                                                             ;4
Denis Suã¡Rez                                                                                       ;26;757814400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Arsenal                                                                                             ;Spain                                                                                               ;0
Diogo Josã© Teixeira Da Silva                                                                       ;23;849657600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Wolverhampton Wanderers                                                                             ;Portugal                                                                                            ;9
Domingos Quina                                                                                      ;20;942883200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Watford                                                                                             ;Portugal                                                                                            ;1
Eden Hazard                                                                                         ;29;663206400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Chelsea                                                                                             ;Belgium                                                                                             ;16
Emerson Hyndman                                                                                     ;24;829004400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Afc Bournemouth                                                                                     ;Usa                                                                                                 ;0
Emile Smith Rowe                                                                                    ;20;964738800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Arsenal                                                                                             ;England                                                                                             ;0
Eric Dier                                                                                           ;26;758592000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Tottenham Hotspur                                                                                   ;England                                                                                             ;3
Erik Lamela                                                                                         ;28;699667200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Tottenham Hotspur                                                                                   ;Argentina                                                                                           ;4
Ethan Ampadu                                                                                        ;20;968886000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Chelsea                                                                                             ;Wales                                                                                               ;0
Etienne Capoue                                                                                      ;32;584578800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Watford                                                                                             ;France                                                                                              ;1
Fabian Delph                                                                                        ;30;627609600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester City                                                                                     ;England                                                                                             ;0
Fabinho                                                                                             ;26;751330800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Liverpool                                                                                           ;Brazil                                                                                              ;1
Felipe Anderson Pereira Gomes                                                                       ;27;734828400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;Brazil                                                                                              ;9
Fernando Luiz Rosa                                                                                  ;35;484009200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester City                                                                                     ;Brazil                                                                                              ;1
Floyd Ayitã©                                                                                        ;31;598147200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Fulham                                                                                              ;Togo                                                                                                ;1
Fousseni Diabatã©                                                                                   ;24;813970800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Leicester City                                                                                      ;Mali                                                                                                ;0
Francisco Femenã­A Far                                                                              ;29;665452800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Watford                                                                                             ;Spain                                                                                               ;1
Frederico Rodrigues Santos                                                                          ;27;731289600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester United                                                                                   ;Brazil                                                                                              ;1
George Marsh                                                                                        ;21;910224000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Tottenham Hotspur                                                                                   ;England                                                                                             ;0
Georginio Wijnaldum                                                                                 ;29;658281600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Liverpool                                                                                           ;Netherlands                                                                                         ;3
Grady Diangana                                                                                      ;22;892940400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;England                                                                                             ;0
Granit Xhaka                                                                                        ;27;717548400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Arsenal                                                                                             ;Switzerland                                                                                         ;4
Gylfi Sigurdsson                                                                                    ;31;621212400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Everton                                                                                             ;Iceland                                                                                             ;13
Hamza Choudhury                                                                                     ;22;875660400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Leicester City                                                                                      ;England                                                                                             ;0
Harry Arter                                                                                         ;30;630806400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Cardiff City                                                                                        ;Republic Of Ireland                                                                                 ;0
Harry Winks                                                                                         ;24;823219200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Tottenham Hotspur                                                                                   ;England                                                                                             ;1
Harvey Lewis Barnes                                                                                 ;22;881625600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Leicester City                                                                                      ;England                                                                                             ;1
Henrikh Mkhitaryan                                                                                  ;31;601344000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Arsenal                                                                                             ;Armenia                                                                                             ;6
Hã¥Vard Nordtveit                                                                                   ;30;645922800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Fulham                                                                                              ;Norway                                                                                              ;0
Hã©Lder Wander Sousa Azevedo Costa                                                                  ;26;758332800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Wolverhampton Wanderers                                                                             ;Portugal                                                                                            ;1
Ibrahima Cissã©                                                                                     ;26;762393600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Fulham                                                                                              ;Belgium                                                                                             ;0
Idrissa Gana Gueye                                                                                  ;30;622767600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Everton                                                                                             ;Senegal                                                                                             ;0
Isaac Hayden                                                                                        ;25;795830400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Newcastle United                                                                                    ;England                                                                                             ;1
Jack Cork                                                                                           ;31;614732400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Burnley                                                                                             ;England                                                                                             ;1
Jack Wilshere                                                                                       ;28;694224000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;England                                                                                             ;0
Jacob Murphy                                                                                        ;25;793584000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Newcastle United                                                                                    ;England                                                                                             ;0
James Maddison                                                                                      ;23;848707200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Leicester City                                                                                      ;England                                                                                             ;7
James Mcarthur                                                                                      ;32;560559600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Crystal Palace                                                                                      ;Scotland                                                                                            ;3
James Mccarthy                                                                                      ;29;658368000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Everton                                                                                             ;Republic Of Ireland                                                                                 ;0
James Milner                                                                                        ;34;505180800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Liverpool                                                                                           ;England                                                                                             ;5
James Ward-Prowse                                                                                   ;25;783648000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Southampton                                                                                         ;England                                                                                             ;7
Jason Puncheon                                                                                      ;34;520124400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Huddersfield Town                                                                                   ;England                                                                                             ;0
Jayson Molumby                                                                                      ;21;933894000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Brighton & Hove Albion                                                                              ;Republic Of Ireland                                                                                 ;0
Jean Michaã«L Seri                                                                                  ;29;679878000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Fulham                                                                                              ;Cã´Te D'Ivoire                                                                                      ;1
Jeff Hendrick                                                                                       ;28;696816000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Burnley                                                                                             ;Republic Of Ireland                                                                                 ;3
Jefferson Lerma                                                                                     ;25;783043200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Afc Bournemouth                                                                                     ;Colombia                                                                                            ;2
Jesse Lingard                                                                                       ;27;724377600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester United                                                                                   ;England                                                                                             ;4
Joe Ralls                                                                                           ;26;750466800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Cardiff City                                                                                        ;England                                                                                             ;0
Johann Berg Guã°Mundsâ­Son                                                                          ;29;656982000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Burnley                                                                                             ;Iceland                                                                                             ;3
Jonathan Hogg                                                                                       ;31;597369600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Huddersfield Town                                                                                   ;England                                                                                             ;0
Jonjo Shelvey                                                                                       ;28;699148800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Newcastle United                                                                                    ;England                                                                                             ;1
Jordan Henderson                                                                                    ;30;645577200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Liverpool                                                                                           ;England                                                                                             ;1
Jordon Ibe                                                                                          ;24;818380800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Afc Bournemouth                                                                                     ;England                                                                                             ;1
Jorginho                                                                                            ;28;693187200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Chelsea                                                                                             ;Italy                                                                                               ;2
Joseph Willock                                                                                      ;21;935103600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Arsenal                                                                                             ;England                                                                                             ;0
Josh Benson                                                                                         ;20;944352000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Burnley                                                                                             ;England                                                                                             ;0
Joshua Sims                                                                                         ;23;859507200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Southampton                                                                                         ;England                                                                                             ;0
Joã£O Moutinho                                                                                      ;34;526518000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Wolverhampton Wanderers                                                                             ;Portugal                                                                                            ;1
Juan Mata                                                                                           ;32;578185200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester United                                                                                   ;Spain                                                                                               ;3
Juninho Bacuna                                                                                      ;23;870908400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Huddersfield Town                                                                                   ;Netherlands                                                                                         ;1
Junior Stanislas                                                                                    ;30;628041600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Afc Bournemouth                                                                                     ;England                                                                                             ;2
Kadeem Harris                                                                                       ;27;739494000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Cardiff City                                                                                        ;England                                                                                             ;1
Kayne Ramsey                                                                                        ;19;971132400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Southampton                                                                                         ;England                                                                                             ;0
Kelland Watts                                                                                       ;20;941587200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Newcastle United                                                                                    ;England                                                                                             ;0
Ken Sema                                                                                            ;26;749343600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Watford                                                                                             ;Sweden                                                                                              ;1
Kevin De Bruyne                                                                                     ;29;678063600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester City                                                                                     ;Belgium                                                                                             ;2
Kevin Mcdonald                                                                                      ;31;594604800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Fulham                                                                                              ;Scotland                                                                                            ;0
Kieran Dowell                                                                                       ;22;876438000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Everton                                                                                             ;England                                                                                             ;0
Kyle Taylor                                                                                         ;21;935794800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Afc Bournemouth                                                                                     ;England                                                                                             ;0
Lazar Markoviä‡                                                                                     ;26;762566400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Fulham                                                                                              ;Serbia                                                                                              ;0
Leander Dendoncker                                                                                  ;25;797900400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Wolverhampton Wanderers                                                                             ;Belgium                                                                                             ;2
Leandro Bacuna                                                                                      ;29;682729200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Cardiff City                                                                                        ;Curaã§Ao                                                                                            ;0
Leroy Sanã©                                                                                         ;24;821318400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester City                                                                                     ;Germany                                                                                             ;10
Lewis Cook                                                                                          ;23;854928000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Afc Bournemouth                                                                                     ;England                                                                                             ;0
Loã¯C Damour                                                                                        ;29;663292800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Cardiff City                                                                                        ;France                                                                                              ;0
Luca De La Torre                                                                                    ;22;895878000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Fulham                                                                                              ;Usa                                                                                                 ;0
Lucas Rodrigues Moura Da Silva                                                                      ;28;713660400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Tottenham Hotspur                                                                                   ;Brazil                                                                                              ;10
Lucas Torreira                                                                                      ;24;823996800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Arsenal                                                                                             ;Uruguay                                                                                             ;2
Luka Milivojeviä‡                                                                                   ;29;670978800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Crystal Palace                                                                                      ;Serbia                                                                                              ;12
Luke Amos                                                                                           ;23;856656000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Tottenham Hotspur                                                                                   ;England                                                                                             ;0
Luke Dreher                                                                                         ;21;912124800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Crystal Palace                                                                                      ;England                                                                                             ;0
Manuel Lanzini                                                                                      ;27;729734400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;Argentina                                                                                           ;1
Marc Albrighton                                                                                     ;30;627350400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Leicester City                                                                                      ;England                                                                                             ;2
Marc Pugh                                                                                           ;33;544316400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Afc Bournemouth                                                                                     ;England                                                                                             ;0
Mario Lemina                                                                                        ;27;746838000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Southampton                                                                                         ;Gabon                                                                                               ;1
Mark Noble                                                                                          ;33;547426800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;England                                                                                             ;5
Marouane Fellaini                                                                                   ;32;564537600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester United                                                                                   ;Belgium                                                                                             ;0
Mason Greenwood                                                                                     ;19;1001890800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester United                                                                                   ;England                                                                                             ;0
Mateo Kovaä?Iä‡                                                                                     ;26;768178800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Chelsea                                                                                             ;Croatia                                                                                             ;0
Matt Butcher                                                                                        ;23;863564400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Afc Bournemouth                                                                                     ;England                                                                                             ;0
Matt Ritchie                                                                                        ;31;621385200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Newcastle United                                                                                    ;Scotland                                                                                            ;2
Matty Daly                                                                                          ;19;984182400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Huddersfield Town                                                                                   ;England                                                                                             ;0
Mattã©O Guendouzi Oliã©                                                                             ;21;924044400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Arsenal                                                                                             ;France                                                                                              ;0
Max Harrison Sanders                                                                                ;21;915408000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Brighton & Hove Albion                                                                              ;England                                                                                             ;0
Max Meyer                                                                                           ;25;811378800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Crystal Palace                                                                                      ;Germany                                                                                             ;1
Mesut Ã–Zil                                                                                         ;31;592873200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Arsenal                                                                                             ;Germany                                                                                             ;5
Michail Antonio                                                                                     ;30;638578800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;England                                                                                             ;6
Miguel Ã?Ngel Almirã³N Rejala                                                                       ;26;760838400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Newcastle United                                                                                    ;Paraguay                                                                                            ;0
Mohamed Diamã©                                                                                      ;33;550623600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Newcastle United                                                                                    ;Senegal                                                                                             ;0
Mohamed Elneny                                                                                      ;28;710809200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Arsenal                                                                                             ;Egypt                                                                                               ;0
Mohamed Elyounoussi                                                                                 ;26;775954800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Southampton                                                                                         ;Norway                                                                                              ;0
Morgan Gibbs-White                                                                                  ;20;948931200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Wolverhampton Wanderers                                                                             ;England                                                                                             ;0
Morgan Schneiderlin                                                                                 ;30;626486400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Everton                                                                                             ;France                                                                                              ;0
Moussa Dembele                                                                                      ;33;553388400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Tottenham Hotspur                                                                                   ;Belgium                                                                                             ;0
Moussa Sissoko                                                                                      ;31;619225200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Tottenham Hotspur                                                                                   ;France                                                                                              ;0
N'Golo Kantã©                                                                                       ;29;670204800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Chelsea                                                                                             ;France                                                                                              ;4
Naby Deco Keã¯Ta                                                                                    ;25;792374400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Liverpool                                                                                           ;Guinea                                                                                              ;2
Nampalys Mendy                                                                                      ;28;709254000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Leicester City                                                                                      ;France                                                                                              ;0
Nathan Holland                                                                                      ;22;898210800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;West Ham United                                                                                     ;England                                                                                             ;0
Nathan Redmond                                                                                      ;26;762912000;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Southampton                                                                                         ;England                                                                                             ;6
Nathaniel Chalobah                                                                                  ;25;787190400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Watford                                                                                             ;England                                                                                             ;0
Nathaniel Mendez-Laing                                                                              ;28;703292400;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Cardiff City                                                                                        ;England                                                                                             ;4
Neeskens Kebano                                                                                     ;28;700185600;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Fulham                                                                                              ;Congo Dr                                                                                            ;0
Nemanja Matiä‡                                                                                      ;32;586393200;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Manchester United                                                                                   ;Serbia                                                                                              ;1
Nnamdi Ofoborh                                                                                      ;20;941932800;Premier League                                                                                      ;2018/2019                       ;Midfielder                                                                                          ;Afc Bournemouth                                                                                     ;England                                                                                             ;0
