full_name;age;birthday;league;season;position;Current_Club;nationality;goals_overall
Chris Lã¶We                                                                                         ;31;608684400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Huddersfield Town                                                                                   ;Germany                                                                                             ;0
Chris Mepham                                                                                        ;22;878688000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Afc Bournemouth                                                                                     ;Wales                                                                                               ;0
Chris Smalling                                                                                      ;30;627696000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester United                                                                                   ;England                                                                                             ;1
Christian Fuchs                                                                                     ;34;513212400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Leicester City                                                                                      ;Austria                                                                                             ;0
Christian Kabasele                                                                                  ;29;667353600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Watford                                                                                             ;Belgium                                                                                             ;0
Christopher Schindler                                                                               ;30;641343600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Huddersfield Town                                                                                   ;Germany                                                                                             ;1
Ciaran Clark                                                                                        ;30;622767600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Newcastle United                                                                                    ;Republic Of Ireland                                                                                 ;3
Craig Cathcart                                                                                      ;31;602726400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Watford                                                                                             ;Northern Ireland                                                                                    ;3
Cyrus Christie                                                                                      ;27;717807600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Fulham                                                                                              ;Republic Of Ireland                                                                                 ;0
Dan Burn                                                                                            ;28;705366000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Brighton & Hove Albion                                                                              ;England                                                                                             ;0
Danilo                                                                                              ;29;679532400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester City                                                                                     ;Brazil                                                                                              ;1
Danny Rose                                                                                          ;30;646873200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Tottenham Hotspur                                                                                   ;England                                                                                             ;0
Danny Simpson                                                                                       ;33;536716800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Leicester City                                                                                      ;England                                                                                             ;0
Daryl Janmaat                                                                                       ;31;617065200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Watford                                                                                             ;Netherlands                                                                                         ;0
David Luiz                                                                                          ;33;546044400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Chelsea                                                                                             ;Brazil                                                                                              ;3
Davide Zappacosta                                                                                   ;28;708217200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Chelsea                                                                                             ;Italy                                                                                               ;0
Davinson Sã¡Nchez Mina                                                                              ;24;834534000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Tottenham Hotspur                                                                                   ;Colombia                                                                                            ;1
Deandre Yedlin                                                                                      ;27;742172400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Newcastle United                                                                                    ;Usa                                                                                                 ;1
Dejan Lovren                                                                                        ;31;615596400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Liverpool                                                                                           ;Croatia                                                                                             ;1
Demeaco Duhaney                                                                                     ;21;908233200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Huddersfield Town                                                                                   ;England                                                                                             ;0
Denis Odoi                                                                                          ;32;580690800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Fulham                                                                                              ;Belgium                                                                                             ;0
Diego Rico                                                                                          ;27;730425600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Afc Bournemouth                                                                                     ;Spain                                                                                               ;0
Emerson Palmieri Dos Santos                                                                         ;26;775868400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Chelsea                                                                                             ;Italy                                                                                               ;0
Eric Bertrand Bailly                                                                                ;26;766105200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester United                                                                                   ;Cã´Te D'Ivoire                                                                                      ;0
Erik Durm                                                                                           ;28;705625200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Huddersfield Town                                                                                   ;Germany                                                                                             ;0
Fabian Schã¤R                                                                                       ;28;693187200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Newcastle United                                                                                    ;Switzerland                                                                                         ;4
Fabiã¡N Cornelio Balbuena Gonzã¡Lez                                                                 ;29;682902000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;West Ham United                                                                                     ;Paraguay                                                                                            ;1
Faustino Marcos Alberto Rojo                                                                        ;30;637891200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester United                                                                                   ;Argentina                                                                                           ;0
Federico Fernã¡Ndez                                                                                 ;31;604022400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Newcastle United                                                                                    ;Argentina                                                                                           ;0
Florent Hadergjonaj                                                                                 ;26;775609200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Huddersfield Town                                                                                   ;Switzerland                                                                                         ;0
Florian Lejeune                                                                                     ;29;674694000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Newcastle United                                                                                    ;France                                                                                              ;0
Gary Cahill                                                                                         ;34;503798400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Chelsea                                                                                             ;England                                                                                             ;0
Gaã«Tan Bong Songo                                                                                  ;32;577926000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Brighton & Hove Albion                                                                              ;Cameroon                                                                                            ;0
Greg Cunningham                                                                                     ;29;665280000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Cardiff City                                                                                        ;Republic Of Ireland                                                                                 ;0
Harry Maguire                                                                                       ;27;731289600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Leicester City                                                                                      ;England                                                                                             ;3
Hector Bellerin                                                                                     ;25;795571200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Arsenal                                                                                             ;Spain                                                                                               ;0
Issa Diop                                                                                           ;23;852768000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;West Ham United                                                                                     ;France                                                                                              ;1
Jack Simpson                                                                                        ;23;850867200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Afc Bournemouth                                                                                     ;England                                                                                             ;0
Jack Stephens                                                                                       ;26;759628800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Southampton                                                                                         ;England                                                                                             ;1
Jamal Lascelles                                                                                     ;26;752976000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Newcastle United                                                                                    ;England                                                                                             ;0
James Garner                                                                                        ;19;984441600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester United                                                                                   ;England                                                                                             ;0
James Tarkowski                                                                                     ;27;722131200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Burnley                                                                                             ;England                                                                                             ;3
James Tomkins                                                                                       ;31;607129200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Crystal Palace                                                                                      ;England                                                                                             ;1
Jamie Sterry                                                                                        ;24;816912000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Newcastle United                                                                                    ;England                                                                                             ;0
Jan Bednarek                                                                                        ;24;829263600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Southampton                                                                                         ;Poland                                                                                              ;0
Jan Vertonghen                                                                                      ;33;546217200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Tottenham Hotspur                                                                                   ;Belgium                                                                                             ;1
Jannik Vestergaard                                                                                  ;28;712796400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Southampton                                                                                         ;Denmark                                                                                             ;0
Javier Manquillo Gaitã¡N                                                                            ;26;768092400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Newcastle United                                                                                    ;Spain                                                                                               ;0
Jazz Richards                                                                                       ;29;671410800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Cardiff City                                                                                        ;Wales                                                                                               ;0
Jaã¯Ro Riedewald                                                                                    ;24;842223600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Crystal Palace                                                                                      ;Netherlands                                                                                         ;0
Jeffrey Schlupp                                                                                     ;27;725068800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Crystal Palace                                                                                      ;Ghana                                                                                               ;4
Joe Bennett                                                                                         ;30;638578800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Cardiff City                                                                                        ;England                                                                                             ;0
Joe Bryan                                                                                           ;27;748220400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Fulham                                                                                              ;England                                                                                             ;0
Joe Gomez                                                                                           ;23;864342000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Liverpool                                                                                           ;England                                                                                             ;0
Joel Matip                                                                                          ;29;681606000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Liverpool                                                                                           ;Cameroon                                                                                            ;1
Joel Ward                                                                                           ;30;625618800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Crystal Palace                                                                                      ;England                                                                                             ;1
John Stones                                                                                         ;26;770079600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester City                                                                                     ;England                                                                                             ;0
Jon Gorenc Stankoviä?                                                                               ;24;821577600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Huddersfield Town                                                                                   ;Slovenia                                                                                            ;1
Jonjoe Kenny                                                                                        ;23;858384000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Everton                                                                                             ;England                                                                                             ;0
Jonny                                                                                               ;26;762652800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Wolverhampton Wanderers                                                                             ;Spain                                                                                               ;1
Jonny Evans                                                                                         ;32;568166400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Leicester City                                                                                      ;Northern Ireland                                                                                    ;1
Josh Knight                                                                                         ;23;873586800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Leicester City                                                                                      ;England                                                                                             ;0
Josã© Diogo Dalot Teixeira                                                                          ;21;921715200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester United                                                                                   ;Portugal                                                                                            ;0
Josã© Holebas                                                                                       ;36;457138800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Watford                                                                                             ;Greece                                                                                              ;3
Juan Marcos Foyth                                                                                   ;22;884563200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Tottenham Hotspur                                                                                   ;Argentina                                                                                           ;1
Kevin Long                                                                                          ;30;650934000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Burnley                                                                                             ;Republic Of Ireland                                                                                 ;0
Kieran Trippier                                                                                     ;30;653698800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Tottenham Hotspur                                                                                   ;England                                                                                             ;1
Konstantinos Mavropanos                                                                             ;22;881798400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Arsenal                                                                                             ;Greece                                                                                              ;0
Kortney Hause                                                                                       ;25;805849200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Wolverhampton Wanderers                                                                             ;England                                                                                             ;0
Kurt Zouma                                                                                          ;25;783216000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Everton                                                                                             ;France                                                                                              ;2
Kyle Walker                                                                                         ;30;643849200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester City                                                                                     ;England                                                                                             ;1
Kyle Walker-Peters                                                                                  ;23;860886000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Tottenham Hotspur                                                                                   ;England                                                                                             ;0
Laurent Koscielny                                                                                   ;35;495154800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Arsenal                                                                                             ;France                                                                                              ;3
Lee Peltier                                                                                         ;33;534643200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Cardiff City                                                                                        ;England                                                                                             ;0
Leighton Baines                                                                                     ;35;471571200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Everton                                                                                             ;England                                                                                             ;0
Leon Balogun                                                                                        ;32;583455600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Brighton & Hove Albion                                                                              ;Nigeria                                                                                             ;1
Lewis Cass                                                                                          ;20;951609600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Newcastle United                                                                                    ;England                                                                                             ;0
Lewis Dunk                                                                                          ;28;690681600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Brighton & Hove Albion                                                                              ;England                                                                                             ;2
Lucas Digne                                                                                         ;27;743122800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Everton                                                                                             ;France                                                                                              ;4
Luke Shaw                                                                                           ;25;805503600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester United                                                                                   ;England                                                                                             ;1
Mamadou Sakho                                                                                       ;30;634867200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Crystal Palace                                                                                      ;France                                                                                              ;0
Marc Guehi                                                                                          ;20;963442800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Chelsea                                                                                             ;England                                                                                             ;0
Marc Navarro Ceciliano                                                                              ;25;804639600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Watford                                                                                             ;Spain                                                                                               ;0
Marcos Alonso                                                                                       ;29;662342400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Chelsea                                                                                             ;Spain                                                                                               ;2
Markus Suttner                                                                                      ;33;545526000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Brighton & Hove Albion                                                                              ;Austria                                                                                             ;0
Martin Kelly                                                                                        ;30;641170800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Crystal Palace                                                                                      ;England                                                                                             ;0
Martã­N Montoya                                                                                     ;29;671583600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Brighton & Hove Albion                                                                              ;Spain                                                                                               ;0
Mason Holgate                                                                                       ;23;845938800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Everton                                                                                             ;England                                                                                             ;0
Mathias Jattah-Njie Jã¸Rgensen                                                                      ;30;640825200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Huddersfield Town                                                                                   ;Denmark                                                                                             ;3
Matt Doherty                                                                                        ;28;695520000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Wolverhampton Wanderers                                                                             ;Republic Of Ireland                                                                                 ;4
Matt Targett                                                                                        ;25;811378800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Southampton                                                                                         ;England                                                                                             ;1
Matteo Darmian                                                                                      ;30;628560000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester United                                                                                   ;Italy                                                                                               ;0
Matthew Connolly                                                                                    ;32;559436400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Cardiff City                                                                                        ;England                                                                                             ;0
Matthew Lowton                                                                                      ;31;613350000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Burnley                                                                                             ;England                                                                                             ;0
Max Kilman                                                                                          ;23;864342000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Wolverhampton Wanderers                                                                             ;England                                                                                             ;0
Maxime Le Marchand                                                                                  ;30;624063600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Fulham                                                                                              ;France                                                                                              ;0
Maya Yoshida                                                                                        ;32;588380400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Southampton                                                                                         ;Japan                                                                                               ;0
Michael Keane                                                                                       ;27;726710400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Everton                                                                                             ;England                                                                                             ;1
Miguel Ã?Ngel Britos Cabrera                                                                        ;35;490402800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Watford                                                                                             ;Uruguay                                                                                             ;0
Nacho Monreal                                                                                       ;34;509760000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Arsenal                                                                                             ;Spain                                                                                               ;1
Nathan Akã©                                                                                         ;25;793065600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Afc Bournemouth                                                                                     ;Netherlands                                                                                         ;4
Nathaniel Clyne                                                                                     ;29;670806000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Afc Bournemouth                                                                                     ;England                                                                                             ;0
Nicolas Otamendi                                                                                    ;32;571622400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester City                                                                                     ;Argentina                                                                                           ;0
Nikola Tavares                                                                                      ;21;916531200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Crystal Palace                                                                                      ;England                                                                                             ;0
Pablo Zabaleta                                                                                      ;35;474681600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;West Ham United                                                                                     ;Argentina                                                                                           ;0
Pape N'Diaye Souarã©                                                                                ;30;644626800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Crystal Palace                                                                                      ;Senegal                                                                                             ;0
Patrick Van Aanholt                                                                                 ;30;651884400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Crystal Palace                                                                                      ;Netherlands                                                                                         ;3
Paul Dummett                                                                                        ;28;685839600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Newcastle United                                                                                    ;Wales                                                                                               ;0
Phil Bardsley                                                                                       ;35;488761200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Burnley                                                                                             ;Scotland                                                                                            ;0
Phil Jagielka                                                                                       ;38;398386800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Everton                                                                                             ;England                                                                                             ;1
Phil Jones                                                                                          ;28;698630400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester United                                                                                   ;England                                                                                             ;0
Philippe Sandler                                                                                    ;23;855532800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Manchester City                                                                                     ;Netherlands                                                                                         ;0
Ricardo Domingos Barbosa Pereira                                                                    ;26;749862000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Leicester City                                                                                      ;Portugal                                                                                            ;2
Rob Holding                                                                                         ;25;811551600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Arsenal                                                                                             ;England                                                                                             ;0
Ryan Bennett                                                                                        ;30;636681600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Wolverhampton Wanderers                                                                             ;England                                                                                             ;1
Ryan Bertrand                                                                                       ;31;618274800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Southampton                                                                                         ;England                                                                                             ;1
Ryan Sessegnon                                                                                      ;20;958604400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Fulham                                                                                              ;England                                                                                             ;2
Rãºben Gonã§Alo Silva Nascimento Vinagre                                                            ;21;923612400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Wolverhampton Wanderers                                                                             ;Portugal                                                                                            ;0
Sam Woods                                                                                           ;22;905468400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Crystal Palace                                                                                      ;England                                                                                             ;0
Scott Dann                                                                                          ;33;540259200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Crystal Palace                                                                                      ;England                                                                                             ;0
Sead Kolaå¡Inac                                                                                     ;27;740530800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Arsenal                                                                                             ;Bosnia And Herzegovina                                                                              ;0
Sean Morrison                                                                                       ;29;663292800;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Cardiff City                                                                                        ;England                                                                                             ;1
Sebastian Prã¶Dl                                                                                    ;33;551228400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Watford                                                                                             ;Austria                                                                                             ;0
Serge Aurier                                                                                        ;27;725155200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Tottenham Hotspur                                                                                   ;Cã´Te D'Ivoire                                                                                      ;0
Shane Duffy                                                                                         ;28;694224000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Brighton & Hove Albion                                                                              ;Republic Of Ireland                                                                                 ;5
Shkodran Mustafi                                                                                    ;28;703465200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Arsenal                                                                                             ;Germany                                                                                             ;2
Simon Francis                                                                                       ;35;477360000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Afc Bournemouth                                                                                     ;England                                                                                             ;0
Sokratis Papastathopoulos                                                                           ;32;581814000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Arsenal                                                                                             ;Greece                                                                                              ;1
Souleymane Bamba                                                                                    ;35;474422400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Cardiff City                                                                                        ;Cã´Te D'Ivoire                                                                                      ;4
Stephan Lichtsteiner                                                                                ;36;443059200;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Arsenal                                                                                             ;Switzerland                                                                                         ;0
Stephen Ward                                                                                        ;35;493340400;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Burnley                                                                                             ;Republic Of Ireland                                                                                 ;0
Steve Cook                                                                                          ;29;672015600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Afc Bournemouth                                                                                     ;England                                                                                             ;1
Sã©Amus Coleman                                                                                     ;31;592527600;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Everton                                                                                             ;Republic Of Ireland                                                                                 ;2
Terence Kongolo                                                                                     ;26;761184000;Premier League                                                                                      ;2018/2019                       ;Defender                                                                                            ;Huddersfield Town                                                                                   ;Netherlands                                                                                         ;1
