cod_distrito;cod_concelho;nome_concelho;nome_distrito;a2014ncrimes;a2013ncrimes;a2012ncrimes;a2011ncrimes;a2010ncrimes;a2009ncrimes;a2008ncrimes;a2007ncrimes;a2006ncrimes;a2005ncrimes;a2004ncrimes;a2003ncrimes;a2002ncrimes;a2001ncrimes;a2000ncrimes;a1999ncrimes;a1998ncrimes;a1997ncrimes;a1996ncrimes;a1995ncrimes;a1994ncrimes;a1993ncrimes;Total19932014crimes
2;3;Alvito;Beja;132;60;77;76;70;58;49;70;64;64;78;80;52;40;41;39;24;27;26;18;28;21;1194.0
2;4;Barrancos;Beja;32;60;21;23;15;28;22;13;13;14;27;16;17;17;7;7;11;13;4;19;15;27;421.0
2;5;Beja;Beja;1042;1034;1040;1000;1114;1023;1351;1408;1405;1399;1797;1821;1505;1335;1128;1041;1015;914;931;1042;1107;952;26404.0
2;6;Castro Verde;Beja;155;148;141;132;126;105;110;110;160;160;207;252;129;150;152;103;138;105;121;85;64;55;2908.0
2;7;Cuba;Beja;200;162;192;134;133;102;128;84;113;85;104;101;76;86;83;73;85;70;61;75;82;92;2321.0
2;8;Ferreira do Alentejo;Beja;268;280;342;283;222;193;161;194;146;208;188;208;120;98;125;108;94;76;92;128;126;83;3743.0
2;10;Moura;Beja;427;437;372;323;389;331;228;290;338;376;415;424;391;440;390;326;358;294;253;286;306;306;7700.0
2;9;Mértola;Beja;144;184;179;159;105;95;111;114;100;156;150;151;142;167;128;107;84;53;78;106;98;108;2719.0
2;11;Odemira;Beja;689;863;785;821;664;624;616;745;914;863;937;826;649;546;483;435;398;347;420;495;342;333;13795.0
2;12;Ourique;Beja;144;208;248;174;183;146;126;149;162;207;243;242;195;222;203;219;118;141;168;131;105;109;3843.0
2;13;Serpa;Beja;425;353;395;331;389;251;263;233;234;247;340;392;228;262;252;273;223;151;191;199;177;243;6052.0
2;14;Vidigueira;Beja;265;304;320;250;190;182;216;202;168;192;251;227;203;223;169;108;98;107;109;83;104;91;4062.0
3;1;Amares;Braga;448;484;765;868;729;686;532;572;527;563;566;580;557;462;348;379;343;314;364;356;343;339;11125.0
3;2;Barcelos;Braga;2007;2492;2477;2762;2917;2692;2766;2786;2777;2902;2658;2924;2642;2242;2244;1935;2075;1528;1658;1789;1849;1661;51783.0
3;3;Braga;Braga;5550;6040;6177;6748;7212;6138;6887;7600;7151;7464;7301;8191;8526;7274;6827;6393;5796;5437;5668;5704;5929;5559;145572.0
3;4;Cabeceiras de Basto;Braga;363;361;447;348;429;464;409;454;448;446;344;375;413;409;311;314;324;262;254;250;213;235;7873.0
3;5;Celorico de Basto;Braga;256;395;372;437;561;519;455;397;374;452;376;363;353;402;415;384;383;325;414;247;221;235;8336.0
3;6;Esposende;Braga;1021;1361;1469;1166;1282;1297;1191;1087;1278;1370;1334;991;1161;1261;1004;939;924;812;891;878;911;667;24295.0
3;7;Fafe;Braga;1013;1312;1402;1370;1822;1657;1484;1870;1673;1627;1582;1278;1167;1141;1204;1172;1322;1153;934;959;784;883;28809.0
3;8;Guimarães;Braga;3168;3493;3467;4475;5367;5104;4226;4038;3887;3833;4339;5005;4528;3569;3289;3578;3861;3131;3008;2950;2815;2737;83868.0
3;9;Póvoa de Lanhoso;Braga;494;715;750;652;698;647;688;628;636;644;536;532;747;685;492;505;480;453;443;396;333;376;12530.0
3;10;Terras de Bouro;Braga;187;269;267;340;258;297;250;235;213;255;201;207;244;144;153;162;173;191;239;258;231;207;4981.0
3;11;Vieira do Minho;Braga;347;533;553;577;666;661;542;596;493;502;461;508;384;402;389;324;306;375;350;354;405;450;10178.0
3;12;Vila Nova de Famalicão;Braga;2763;3391;3327;3176;3460;3622;4022;3577;3395;3393;3128;3316;2896;2467;2151;2285;2538;2634;2535;2358;2096;2117;64647.0
3;13;Vila Verde;Braga;1448;1744;1654;1632;1666;1560;1404;1288;1156;1135;1002;1125;1093;921;806;828;743;660;702;638;547;510;24262.0
3;14;Vizela;Braga;648;881;679;824;910;728;484;478;479;397;437;485;4;6;12;34;8;205;205;272;240;142;8558.0
