"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras";"Ano Abertura";"Estab.Saudável&Seguro";"Aloja Estudantes 2020/21 - Medidas Covid-19"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9392";"Aldeia da Margarida";"Aldeia da Margarida";;"Classificado em auditoria";"10";"5";"0";"Rua de Sobrado de Baixo, 170";"4690-727";"Tarouquela";"Cinfães";"Viseu";"934845057";;"domingoacetinado@gmail.com";"www.aldeiadamargarida.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega e Sousa";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"LIVE PORTO & DOURO\, UNIPESSOAL\, LDA";;"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9391";"Hotel 3K Porto Aeroporto";"Hotel 3K Porto Aeroporto";"***";"Classificado em projeto";"128";"64";"1";"Rua Casimiro Albano Monteiro nº 143";"4470-428";"Maia";"Maia";"Porto";"220149750";;"geral@hotel3kporto.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Verde Amanhecer Lda";;"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9388(Em análise pelo Turismo de Portugal, I.P.)";"Zurin Charm Hotel";"Zurin Investimentos Lda.";"**";"Classificado em projeto";"64";"36";"1";"Rua Dom Carlos de Mascarenhas 46 - 46 B";"1070-080";"Lisboa";"Lisboa";"Lisboa";"925970605";;"zkassam@zurin-invest.com";;"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Zurin Investimentos, Lda.";;"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9386";"Stay Hotel Lisboa Aeroporto";"Stay Hotels";"***";"Classificado em projeto";"154";"84";"2";"Rua Vasco da Gama, 38 e 38 A";"2685-244";"Portela Lrs";"Loures";"Lisboa";"220150658";;"direcao.lisboaaeroporto@stayhotels.pt";"www.stayhotels.pt";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"JUST STAY HOTELS S A";;"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9383";"Quinta do Crestelo - Casa de Ténis";;;"Classificado em auditoria";"6";"3";"0";"Av.ª dos Bombeiros Voluntários";"6270-425";"Seia";"Seia";"Guarda";"238320050";"238320051";"quintadocrestelo@quintadocrestelo.pt";"www.quintadocrstelo.pt";"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"0";"Sim";"200";"Não";"Sim";"Sim";"Sim";"Sim";"Não";"Sim";;;"MONTANHAS E RIOS TURISMO LDA";;"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9382";"Mercure Porto Centro Aliados";"Mercure";"****";"Classificado em projeto";"166";"86";"1";"Rua do Bonjardim, 95";"4000-124";"Porto";"Porto";"Porto";"969221604";;"hb2l7-gm@accor.com";"https://all.accor.com/hotel/B2L7/index.pt-br.shtml";"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";"2020-09-18->2020-10-18 Ano em causa:2020, ";"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"Sociedade Portuguesa de Hotelaria Porto Bonjardim";;;"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9379";"Casa Nova Agro-turismo";;;"Classificado em auditoria";"10";"5";"1";"Estrada Nacional 222, Nº 148 Massôrra - S. João de Fontoura";"4660-347";"São João de Fontoura";"Resende";"Viseu";"254094967";;"geral@casadaobraturismo.pt";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Tâmega e Sousa";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"SEMINARIO MENOR DE RESENDE";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9377(Em análise pelo Turismo de Portugal, I.P.)";"Soito Wines";"QUINTA DO SOITO";;"Classificado em auditoria";"4";"4";"1";"QUINTA DO SOITO - TIBALDE";"3530-071";"Fornos de Maceira Dão";"Mangualde";"Viseu";"232416453";;"geral@soitowines.com";"www.soitowines.com";"Turismo do Centro de Portugal";"Centro";"Região Viseu - Dão Lafões";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"SOITO WINES, LDA";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9376(Em análise pelo Turismo de Portugal, I.P.)";"Vila Planicie - Country House";"Vila Planicie";;"Classificado em projeto";"12";"6";"0";"Rua da Barrada,8";"7200-181";"Monsaraz";"Reguengos de Monsaraz";"Évora";"918111580";;"vilaplanicie@vilaplanicie.pt";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Via Planicie SA";;"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9375";"Hotel Mabi";;"*";"Classificado em auditoria";"22";"11";"1";"Estrada da Branqueta nº 117";"4930-682";"Valença";"Valença";"Viana do Castelo";"251036383";;"hotelmabivalenca@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ALVES & SANTEJO LDA";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9373";"Quinta do Retiro";"Casa do Retiro";;"Classificado em auditoria";"11";"7";"0";"Rua da Bouça Velha 495";"4990-610";"Fontão";"Ponte de Lima";"Viana do Castelo";"920047997";;"lourencobruschy@gmail.com";"https://www.facebook.com/CasaDoRetiro";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";"2020-10-01->2020-10-14 Ano em causa:2020, 2020-10-15->2020-10-28 Ano em causa:2020, 2020-10-28->2020-11-13 Ano em causa:2020, 2020-11-14->2020-11-30 Ano em causa:2020, 2020-12-01->2020-12-31 Ano em causa:2020, 2021-01-01->2021-01-31 Ano em causa:2021, 2021-02-01->2021-02-28 Ano em causa:2021, 2021-03-01->2021-03-31 Ano em causa:2021, 2021-04-01->2021-04-30 Ano em causa:2021, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Lourenço Bruschy";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9371";"Herdade dos Sepol";"Herdade dos Sepol";;"Classificado em auditoria";"10";"5";"0";"Herdade Dos sepol , EN2, km 582,5, Horta da Fonte";"7900-381";"Odivelas Fal";"Ferreira do Alentejo";"Beja";"919191669";;"anaisalopes@hotmail.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Baixo Alentejo";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"lAna Isabel mendes lopes";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9370";"Abacatus Farmhouse";"Abacatus Farmhouse";;"Classificado em projeto";"5";"5";"0";"Sítio de São Pedro, Santa Luzia";"8800-405";"Tavira";"Tavira";"Faro";"968909701";;"abacatusfarmhouse@gmail.com";"www.abacatusfarmhouse.com";"Região de Turismo do Algarve";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Ensaiotendencia CGU\, Lda";;"2020";"Sim";"Não"
"Apartamento Turístico";"9369";"CLUBHOUSE RESIDENCES";"CLUBHOUSE RESIDENCES";"*****";"Classificado em projeto";"176";"40";"1";"Urbanização Monte Rei, Loteamento do Golfe, Lote 33";"8900-049";"Vila Nova de Cacela";"Vila Real de Santo António";"Faro";"291950950";;"info@monterei.com";"www.monte-rei.com";"Região de Turismo do Algarve";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"CACELA GOLFE PROMOCAO IMOBILIARIA INVESTIMENTOS T";"Programa Operacional Regional do Algarve, ";;"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9368";"Chic and Basic Gravity";"Chic and Basic Gravity";"****";"Classificado em projeto";"70";"70";"0";"Rua das Oliveiras, 66";"4050-157";"Porto";"Porto";"Porto";"915371270";;"jorge@chicandbasic.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";"2020-09-03->2020-10-15 Ano em causa:2020, 2020-10-15->2020-11-06 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Chic&Basic";;"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9367";"Quinta Moinhos da Ponte";"Q.ta Moinhos da Ponte, Unipessoal Lda.";;"Classificado em projeto";"5";"4";"0";"Estrada S. Geraldo";"3420-136";"Midões Tbu";"Tábua";"Coimbra";"963715695";;"moinhos.da.ponte@gmail.com";;"Turismo do Centro de Portugal";"Centro";"Região de Coimbra";;"Não";"---";"0";"Não";"0";"Sim";"Não";"Não";"Não";"Não";"Não";"Não";;;"QUINTA MOINHOS DA PONTE UNIPESSOAL LDA";;;"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9365";"Neya Porto Hotel";"Neya Porto Hotel";"****";"Classificado em projeto";"248";"124";"2";"Rua de Monchique 35-41";"4050-394";"Porto";"Porto";"Porto";"222458100";;"info@neyahotels.com";"www.neyahotels.com";"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";;"Não";"---";"1";"Sim";"100";"Sim";"Não";"Não";"Não";"Não";"Não";"Sim";;;"Neya Empreendimentos Hoteleiros e Turisticos, Unipessoal Lda";"Turismo de Portugal, I.P., ";"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9363(Em análise pelo Turismo de Portugal, I.P.)";"Refúgio do Óscar";;;"Classificado em projeto";"3";"3";"0";"lugar de beleiral";"4970-150";"Gavieira";"Arcos de Valdevez";"Viana do Castelo";"914354303";;"refugiodooscar@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Silva";;;"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9362";"Casa da Cerca";"Casa da Cerca";;"Classificado em auditoria";"12";"6";"0";"Largo de Santo António s/n";"6320-536";"Sortelha";"Sabugal";"Guarda";"966813284";;"sociedaderaizesapelativas@gmail.com";;"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"0";"Sim";"12";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Raízes Apelativas, Lda.";;"1993";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9361";"Quinta do Real";;;"Classificado em auditoria";"6";"3";"0";"Avenida São João Bosco, 448B";"4900-896";"Viana do Castelo";"Viana do Castelo";"Viana do Castelo";"919354282";;"quintadoreal.areosa@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CARLOS GONÇALVES PIRES";;;"Não";"Não"
"Parque de Campismo e/ou Caravanismo";"9360(Em análise pelo Turismo de Portugal, I.P.)";"Parque de Campismo do Pião";"Camping Pião";"Sem atribuição de *";"Por reconverter";"2166";"0";"0";"Estrada Nacional 339 - Acesso Covilhã - Serra da Estrela";"6200-000";"Covilhã";"Covilhã";"Castelo Branco";"275314312";;"campismo.piao@hotmail.com";"https://www.parquecampismopiao.pt/";"Turismo do Centro de Portugal";"Centro";"Beiras e Serra da Estrela";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"CLUBE CAMPISMO E CARAVANISMO COVILHÃ";;"2007";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9358";"Hotel República";"Hotel República, Lda";"*****";"Classificado em projeto";"19";"19";"2";"Praça da República, nº41";"2300-550";"Tomar";"Tomar";"Santarém";"249193400";;"info@hotelrepublica.pt";"hotelrepublica.pt";"Turismo do Centro de Portugal";"Centro";"Médio Tejo";;"Não";"Público";"2";"Não";"0";"Sim";"Não";"Não";"Não";"Não";"Não";"Não";;;"HOTEL REPUBLICA LDA";"Turismo de Portugal, I.P., Outra, ";"2020";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9357";"Villa Chanca - Casa do Rossio na Chanca";;;"Classificado em auditoria";"8";"4";"0";"Rossio S/n, Chanca";"3230-540";"Rabaçal Pnl";"Penela";"Coimbra";"916021298";;"avillachanca@gmail.com";"villachanca.com";"Turismo do Centro de Portugal";"Centro";"Região de Coimbra";;"Não";"---";"0";"Sim";"16";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Villa Chanca Unip.,Lda.";"Programa Operacional Regional do Centro, ";"2020";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9356(Em análise pelo Turismo de Portugal, I.P.)";"Quinta do Outono";"Outono";;"Classificado em projeto";"9";"7";"0";"Quinta da Raposeira, s/n";"5110-022";"Aldeias Amm";"Armamar";"Viseu";"919439274";;"anabelacaldeira@quintadooutono.pt";"www.quintadooutono.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Douro";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Despertar Raízes -  Unipessoal Lda";"Turismo de Portugal, I.P., ";;"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9354";"Casinhas de Santo Antonio";"Casinhas de Santo Antonio";;"Classificado em auditoria";"12";"6";"6";"Monte Sto Antonio 9000";"7440-225";"Seda";"Alter do Chão";"Portalegre";"918212998";;"rogerio@mrservicos.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alto Alentejo";;"Não";"Regional";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ROGERIO MARTINS DOS REIS";"Programa de Desenvolvimento Rural (PRODER), ";"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9349";"B&B Hotel Lisboa Aeroporto";"B&B Hotels";"***";"Classificado em projeto";"380";"188";"1";"Rua Vasco da Gama, 5";"2685-244";"Portela Lrs";"Loures";"Lisboa";"+34685941474";"211626726";"jorge.fernandez@hotelbb.com";"www.hotelbb.com/pt";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"JOVINDO, S.A";;"2020";"Sim";"Não"
